celltype,marker,gene,js_divergence,p_value,fdr
GC,Calm2,Prkcb,0.05664430037109969,0.000999000999000999,0.0010641532380662815
GC,Calm2,Egr1,0.05678794152439858,0.000999000999000999,0.0010641532380662815
GC,Calm2,Rragd,0.056805886297555674,0.000999000999000999,0.0010641532380662815
GC,Calm2,Prkca,0.05881040152458637,0.000999000999000999,0.0010641532380662815
GC,Calm2,Fscn1,0.05949248487688171,0.000999000999000999,0.0010641532380662815
GC,Calm2,Cx3cl1,0.0678049344652392,0.000999000999000999,0.0010641532380662815
GC,Calm2,Hpcal4,0.06805638963621209,0.000999000999000999,0.0010641532380662815
GC,Calm2,Nrep,0.07355970573516328,0.000999000999000999,0.0010641532380662815
GC,Calm2,Grin1,0.08120521757877337,0.000999000999000999,0.0010641532380662815
GC,Calm2,Grb2,0.08460680066478521,0.000999000999000999,0.0010641532380662815
GC,Calm2,Psd,0.0847659414168543,0.000999000999000999,0.0010641532380662815
GC,Calm2,Penk,0.09244087766836254,0.000999000999000999,0.0010641532380662815
GC,Calm2,Tubb2b,0.09806897886623572,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gda,0.10001388555158572,0.000999000999000999,0.0010641532380662815
GC,Calm2,Sez6,0.10078791688264926,0.000999000999000999,0.0010641532380662815
GC,Calm2,Abl2,0.10341420087247669,0.000999000999000999,0.0010641532380662815
GC,Calm2,Ctxn1,0.1036646750170957,0.000999000999000999,0.0010641532380662815
GC,Calm2,Baiap2,0.11153597182541278,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gng4,0.11237985584705137,0.000999000999000999,0.0010641532380662815
GC,Calm2,Nrgn,0.11308683643850805,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gm13889,0.11485955355967577,0.000999000999000999,0.0010641532380662815
GC,Calm2,Smarcd1,0.13194879923958108,0.000999000999000999,0.0010641532380662815
GC,Calm2,Kcnj4,0.14026042286730506,0.000999000999000999,0.0010641532380662815
GC,Calm2,Bcl11b,0.14185879539837892,0.000999000999000999,0.0010641532380662815
GC,Calm2,Gpsm1,0.14289207472461868,0.000999000999000999,0.0010641532380662815
GC,Calm2,Icam5,0.16367844392779193,0.000999000999000999,0.0010641532380662815
GC,Calm2,Rbfox3,0.18185125562826016,0.000999000999000999,0.0010641532380662815
GC,Calm2,Camk4,0.31357404306469683,0.001998001998001998,0.0020830233596191043
GC,Calm2,Celf5,0.0692575924304895,0.002997002997002997,0.0030594405594405595
GC,Calm2,Cnih3,0.43483519517664626,0.014985014985014986,0.014985014985014986
OSNs,Fabp7,Apod,0.015902530702695344,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Kctd12,0.016128652688340954,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Kif5b,0.032081793186758176,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Ahcyl2,0.03500639030760294,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Scd1,0.04211572397177333,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Plp1,0.0454369848837027,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Sorbs1,0.050034659072113796,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Plekhb1,0.05106728287748644,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Sash1,0.0524322580704385,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Igfbp5,0.05757163775608547,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Mcf2l,0.06630883747642861,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Trak2,0.06691352330365684,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,S100a5,0.0765988734318455,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Mfap3l,0.0770270291718714,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Nudt4,0.07712031292081444,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Cnn3,0.1053714614289477,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Vim,0.11613490110667804,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Mest,0.1195501655671352,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Ptn,0.12645713708974918,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Gsn,0.1322491183145532,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Gng13,0.13791409941730834,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Pmepa1,0.14756908255820927,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Npy,0.14784899579727262,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,X2310022B05Rik,0.14974973111257914,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Omp,0.1503975849189415,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Gpt2,0.15175175974998797,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Vtn,0.16281962061865343,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Phgdh,0.1638734955560765,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Frzb,0.1887224707611986,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Ppfia1,0.1907915125014898,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Nr2f2,0.20341972596470462,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Ccnd1,0.20630454497918504,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Lpar1,0.21904359511738508,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Slc7a11,0.22131545876432535,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Atf5,0.22183934354106596,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Fmo1,0.27827530916531545,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Cldn5,0.30121600533746806,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Ccnd2,0.3015090330868753,0.000999000999000999,0.000999000999000999
OSNs,Fabp7,Aspa,0.30473638750353554,0.000999000999000999,0.000999000999000999
