celltype,marker,gene,js_divergence,p_value,fdr
PGC,Sparcl1,Gpm6b,0.0030448925846081627,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,X2900097C17Rik,0.008660883008219775,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Olfm1,0.011116988939429482,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Slc6a1,0.01307966536683353,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Slc6a11,0.01610084882435566,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Myo5a,0.018005742003719457,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Nrsn1,0.02030450908940666,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Nap1l5,0.02338174249484806,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Msi2,0.024414079968614565,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Gria1,0.02506919643081855,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Glud1,0.02596119928487142,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Abat,0.026008238526483003,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Rcn2,0.027558718265242067,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Nrxn1,0.02990495234292146,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Dner,0.030847184149837704,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Gstm1,0.03266287475063494,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Calb2,0.035356008656962284,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Mt2,0.035437601757378624,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Cck,0.037126630438286866,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Trnp1,0.04509117790840057,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Aqp4,0.046391756915882286,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Iqsec3,0.04826554189423442,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Hlf,0.052364460721175725,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Bcan,0.05767949657141296,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Chst2,0.06288804043780502,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Mtss1l,0.06543698265247262,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Myo6,0.08212734312929848,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Mgll,0.08559786459025721,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Shisa9,0.11220448903179708,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Ncan,0.1565681187538391,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Eomes,0.16128722362510822,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Iqsec1,0.2056802614883112,0.000999000999000999,0.0015297202797202797
PGC,Sparcl1,Pde1c,0.3585643275749143,0.001998001998001998,0.002879473467708762
PGC,Sparcl1,Pde5a,0.3941483271163822,0.001998001998001998,0.002879473467708762
PGC,Sparcl1,Sept3,0.10321550066327434,0.002997002997002997,0.004079254079254079
PGC,Sparcl1,Gfap,0.1510514072502325,0.002997002997002997,0.004079254079254079
PGC,Sparcl1,Adk,0.12789295196793865,0.003996003996003996,0.005292005292005292
PGC,Sparcl1,Pip5k1b,0.5986525083987664,0.004995004995004995,0.006440927493559073
PGC,Sparcl1,Apold1,0.23401468224326252,0.005994005994005994,0.007530930607853685
PGC,Sparcl1,Zic1,0.19290539775856883,0.006993006993006993,0.008566433566433567
PGC,Sparcl1,AI593442,0.32032787558018017,0.008991008991008992,0.010745352208766844
PGC,Sparcl1,Prss23,0.1267545518415223,0.015984015984015984,0.018214343795739146
PGC,Sparcl1,Shisa6,0.4537330026914579,0.015984015984015984,0.018214343795739146
PGC,Sparcl1,Dnm3,0.14499721949569175,0.026973026973026972,0.03003814367450731
PGC,Sparcl1,Vsnl1,0.09536860464513415,0.03396603396603397,0.036181210094253576
PGC,Sparcl1,Zic2,0.23301201400109262,0.03396603396603397,0.036181210094253576
PGC,Sparcl1,Impact,0.17976160084427562,0.04395604395604396,0.0458265139116203
PGC,Sparcl1,Th,0.15919597545110722,0.08491508491508491,0.08668414918414918
PGC,Sparcl1,Rab3c,0.1561215563918365,0.08691308691308691,0.08691308691308691
