gene,cosine_similarity
Mtmr1,0.65562344
Eci2,0.65558565
Pitpnb,0.6555275
Dnajc9,0.65549046
Insig2,0.65539914
Nrd1,0.6553716
Pex6,0.6552782
Pspc1,0.6552617
Arhgef2,0.65517694
Scrt1,0.6551192
Igfbp7,0.65504783
Arid1b,0.6548276
Osbpl2,0.65481895
Orc4,0.6547515
Gramd1a,0.6545472
Hyou1,0.65454566
Srrm4,0.6544948
Dpm1,0.65439653
Nadk,0.6543912
Cdc123,0.6543875
Raph1,0.6542508
Igdcc4,0.65419877
Mrpl28,0.6541964
Bsdc1,0.65418583
Ppp1r13b,0.65414315
Ptpn4,0.6540764
Ndnf,0.65392447
Gsta4,0.6538445
Shoc2,0.65374887
Slc16a1,0.6536606
Alg2,0.65364134
Casc4,0.6535447
Smox,0.65351576
Rbm6,0.65351486
Vamp3,0.65346974
Arfgef2,0.6533695
Mlec,0.65334535
Dzip1,0.6533108
Smad5,0.6532945
Srebf1,0.6532661
Rab33b,0.6531816
Fam179b,0.6531651
Epm2aip1,0.65316457
Dcaf5,0.6531195
Tacc2,0.65293425
Dph3,0.6527508
Kat7,0.65264297
Sgta,0.65261626
X1810037I17Rik,0.652609
Kirrel3,0.6525846
Wbp1,0.65258265
Gnpat,0.6525647
Nrn1,0.6525448
Pcdh7,0.6525436
Plxnb2,0.65252846
Mrpl4,0.6524331
Phf12,0.6524298
Ccndbp1,0.6524167
Adss,0.6523948
Dip2b,0.652383
Nadkd1,0.652303
Igf2,0.65228313
Clint1,0.65227705
Adipor2,0.65210116
Nudt16l1,0.6519859
Stxbp5l,0.65197176
Cldn10,0.6519324
Scaf8,0.6518527
Enoph1,0.651693
Trip4,0.6515877
Mtf2,0.6515757
Psmb3,0.6514624
BC005537,0.65143335
Rtca,0.6512592
Epha4,0.6512473
Brox,0.6511901
Rnf139,0.65103656
Mtx2,0.65100527
Vps11,0.6509956
Phax,0.6509336
C530008M17Rik,0.6509257
Fam188a,0.65092105
Trafd1,0.65075535
Rab35,0.6507525
Ube2g2,0.6507028
Pogk,0.65062994
Ctss,0.6505951
Spen,0.6505163
Frmd4a,0.65044326
Vps13b,0.65043414
Tmem206,0.6504098
Fam222b,0.6503874
Ube2q2,0.6502226
Ncoa3,0.65018296
Mtdh,0.6501508
Med1,0.6501137
Samm50,0.65004104
Syap1,0.64994127
Nptx2,0.6498868
Ccnk,0.64985454
Kcnq1ot1,0.6498056
Nf2,0.64979947
Abhd17b,0.64970905
Ftx,0.64970046
Sec13,0.64968944
Tnrc18,0.64967865
Tor1aip1,0.64966476
Foxk2,0.6495778
Samd4b,0.64951146
Nova2,0.6493575
Rcan3,0.6492685
Reep2,0.6492554
Ttll7,0.6490768
Unc79,0.64905554
Ttc39b,0.64878637
Cript,0.6487249
Pex19,0.64868593
Ubr1,0.64863366
Elavl2,0.64859915
Stau1,0.64853525
Krit1,0.648217
Lims1,0.6482026
Gosr2,0.648049
Coro1b,0.64803886
Etfa,0.6480297
Rhot1,0.6480139
Ptbp3,0.6479886
Trappc11,0.6479143
Sp4,0.6477576
Pi4k2a,0.64771086
Rasgrf2,0.64766294
Sptssa,0.64764535
Sobp,0.64761305
Amigo1,0.6475154
Slitrk1,0.6474914
Nr4a1,0.64747983
Dcaf11,0.647446
Samd4,0.6474217
Scube1,0.6472847
Nol6,0.64722323
Iqsec2,0.6471874
Ggact,0.64709955
Pou6f1,0.6470372
Sema6b,0.6469898
Nefm,0.6469796
Alyref,0.6469706
Rap2c,0.64692605
Chd5,0.64689064
X1500009C09Rik,0.64683384
Farp1,0.6468064
Foxj3,0.646747
Crot,0.6465442
Rbm42,0.6464768
Far1,0.6464327
Marc2,0.64643097
Sgip1,0.64636457
Rfx3,0.64636105
Mrpl52,0.6463395
Naa15,0.64617
Bag4,0.6461013
Spryd3,0.64608115
Ptk2b,0.6460581
Daam1,0.6459461
Hipk2,0.64591724
Cntnap1,0.64591414
Fam92a,0.64587224
Atraid,0.6458461
Tbrg1,0.64579976
Pgp,0.6457969
BC005624,0.64579135
H2.Ke2,0.6457892
Tmem199,0.6457809
Mapkap1,0.64574105
Amotl1,0.6456923
Akt3,0.6455933
Hs2st1,0.64551723
Pcbp4,0.6454912
Ddt,0.6454517
Brd1,0.64528644
Dusp14,0.6452288
Zc2hc1a,0.6452109
Ranbp1,0.6448866
X9530082P21Rik,0.6448722
Agps,0.64485633
Slc24a2,0.6447715
Vcpip1,0.64466876
Cetn2,0.6446531
Zdhhc21,0.6446468
Rnf214,0.64457625
Tmem222,0.64454937
Phf21a,0.6445471
Camkk1,0.6445069
Acvr1,0.6444434
Ptprf,0.6444007
Ppp2cb,0.64434433
Ppp1ca,0.64432305
Tspan2,0.644242
Ech1,0.6441171
Fam84a,0.6440422
Crkl,0.6438731
Vimp,0.6438356
Apoa1bp,0.64376724
Serpinh1,0.6435993
Zbtb11,0.6435751
Taf13,0.643525
A230046K03Rik,0.64352286
Agpat1,0.6434976
Rpl36,0.64345556
Cap2,0.64323145
Nxt2,0.6430574
Tmco3,0.64299685
Syt13,0.6429813
Trib2,0.64297456
X4931406P16Rik,0.64295435
Vps25,0.64286363
Rsbn1l,0.6428323
Usp19,0.64276433
Cd99l2,0.6427472
Pdcl3,0.64273435
Trh,0.6426562
Rab11fip2,0.64258474
Fam192a,0.6425672
Prkrir,0.64255846
Dnalc4,0.64246136
Fgfr2,0.64243484
Kcnip1,0.6424344
Mta2,0.64239526
Gprc5b,0.64234155
Zfp266,0.6422641
Gng12,0.64222217
Cacna1d,0.64216876
Kctd3,0.642164
Rab28,0.64210683
Gldc,0.6420668
Fam193b,0.6420493
Zmym3,0.64202285
Lman1,0.64188635
Sc4mol,0.6418643
Ptprj,0.6418428
Usp10,0.64177626
Gbf1,0.64175326
Aagab,0.6417092
Smad4,0.6416873
Slc25a33,0.64152205
Mapk14,0.64151603
Pyurf,0.641488
Arhgef4,0.6413842
Sipa1l2,0.6412678
Fmo1,0.6410843
Chml,0.64104617
Copz1,0.64104575
Sbds,0.6410166
Pkn2,0.6410034
Pcna,0.6409719
Large,0.64093566
Dnm2,0.6409188
Tmem167b,0.6408886
Hey1,0.64088196
Slco1c1,0.6408605
Atf5,0.64082074
Ralgds,0.64076674
Maneal,0.6407567
Pphln1,0.64073217
Gga1,0.6407173
Ccdc85b,0.6406933
B3galnt1,0.6405425
Ccdc12,0.64054
Mrpl17,0.6404666
Dennd4a,0.640413
Carkd,0.6404086
Mrpl36,0.6402934
Uhrf2,0.64027345
Psmc5,0.6402353
Smad7,0.6402173
Glcci1,0.6401645
Pan3,0.6401017
Bmp1,0.6400729
Ankhd1,0.64003557
Phactr2,0.63993794
Fundc1,0.639927
Slc25a44,0.6399184
Ankra2,0.6398953
Abhd13,0.6398747
Pwwp2a,0.63985705
X1110001A16Rik,0.6398361
Wdr45,0.63982594
Snf8,0.6397985
Ryk,0.6397983
Stag1,0.6397424
Fam135a,0.63968
Fgf13,0.6396278
Clpx,0.6395681
Hbp1,0.6395589
Pfkfb2,0.639551
Acadm,0.6395019
Snrpc,0.6393149
Taf15,0.63928324
Ermp1,0.6391396
Vldlr,0.6390964
Map6,0.63906765
Sec24b,0.63902843
Cpeb3,0.63901126
Fam20b,0.6389537
Sox5,0.63888156
Sf3b5,0.6388521
Lman2,0.6386595
Cul4a,0.638616
Igsf8,0.6385425
Car11,0.6384712
Pik3ip1,0.6384645
Coq10b,0.6384508
Tvp23b,0.6384362
Polr1d,0.6382528
Mpped2,0.6382216
Cd200,0.63821006
Sept4,0.6381072
Lypla2,0.6380884
C330006A16Rik,0.638047
Naa30,0.6380381
Get4,0.63787735
Tmtc1,0.6378623
Gpbp1l1,0.6378564
Dpf1,0.6378112
Nfic,0.63776135
Cul4b,0.6377055
B3gat1,0.637587
Adam11,0.6375605
D1Ertd622e,0.6374794
Usp11,0.63745224
Atp11b,0.6373694
Mapk6,0.63732284
Kat2b,0.6372951
Sept8,0.63727444
Pfkl,0.6372419
Terf2ip,0.6371949
Osbpl9,0.6371151
Fcho2,0.6371015
Wwtr1,0.63707805
Nacc1,0.6370088
Zfp62,0.6369973
Map3k1,0.6369622
Ipo4,0.6369547
Erlec1,0.63691175
Jun,0.63667065
Chd2,0.6365395
Bcr,0.636535
Arhgef40,0.6365189
Gabpa,0.6365153
Nrp1,0.6363815
Camk1d,0.63626623
Hspa13,0.6362435
Cxcl12,0.6362002
Acat1,0.6361933
Rprm,0.6361646
Hapln1,0.63599265
Rnf167,0.63594085
Dpy19l1,0.6359322
Tada1,0.63591325
Egln2,0.63590014
Prr14l,0.63589936
Sycp3,0.6358648
Zkscan3,0.635742
Asb13,0.635642
Grm2,0.63553905
Med14,0.63545686
Abcf1,0.6354072
Ugdh,0.6353711
Zfp236,0.63535875
Orc3,0.6353031
Cpne7,0.6352775
Arhgef26,0.6352647
Ubac2,0.6352253
Got1,0.63506055
Jph3,0.63495487
Vps39,0.6349128
Snx6,0.634802
Glrx,0.63471246
Tmcc1,0.634553
Prpf6,0.63446677
Nefl,0.63438004
Tank,0.6343098
Spcs3,0.63420033
Megf8,0.634053
Csk,0.63396364
Apoo,0.63386667
Tmub2,0.6338071
Ctnnd1,0.6337165
Smad2,0.63359725
Ptdss1,0.6333561
Ccdc104,0.6333494
Fbrs,0.6333126
Trap1,0.6332392
Pip4k2c,0.6332254
Svop,0.6331867
Ctsf,0.63318366
Pik3c2a,0.63308436
Krr1,0.6329907
Cat,0.63297814
Tmed5,0.6329781
Ss18l1,0.6328939
Cxadr,0.6328431
Ergic3,0.6327956
Atg9a,0.6327937
Dnajb2,0.63278246
Rab39b,0.632779
Mllt10,0.6327385
Smg5,0.63271683
Hs3st1,0.6326407
Nedd4l,0.6326209
Papss1,0.632586
Fbxo21,0.6324497
Ece1,0.63242906
Fam172a,0.6324034
Dvl1,0.6324003
Fam126a,0.63237315
Atg16l1,0.63227177
Tnfrsf19,0.6322421
Phf6,0.6322392
Hcfc1,0.6321943
Mdga2,0.6320971
Rab37,0.63208157
Grik2,0.6320794
Suco,0.6320386
Ilf2,0.6319726
Htt,0.63195014
Lhx2,0.63194996
Chst10,0.63194215
Rptor,0.63191277
Syt5,0.63177675
Fam199x,0.6317524
Dlc1,0.63169336
Nfe2l2,0.63166034
Chchd4,0.6316306
Stam,0.63135684
Hn1,0.63134426
Cav2,0.63133305
Gclm,0.6312144
Supt4a,0.6311811
Ap3m1,0.63114125
Scmh1,0.63109696
Skiv2l,0.6310317
Mast2,0.6309431
Ptdss2,0.6309427
Chic1,0.6309026
Srcin1,0.6308472
Bpnt1,0.6306552
Dhx30,0.63065094
Rbm26,0.63063955
Shank1,0.63062185
Rprml,0.6306036
Fam73b,0.63054085
Fam102b,0.6305305
Mrpl46,0.63051456
Jakmip2,0.63046944
Tmem56,0.63042086
Rab40b,0.6303733
Kctd5,0.63036376
Slc1a4,0.6302454
Rreb1,0.63019174
Mmadhc,0.6300875
Tmem179,0.63007736
Cldn12,0.63007104
Trib1,0.63003594
Fam81a,0.6300185
Mfsd6,0.6300004
Chchd6,0.62998754
Arfip2,0.62995076
Wls,0.6298611
Hs6st2,0.6297129
Nolc1,0.629631
Mrps18a,0.6296262
Ptprm,0.62959784
Id4,0.6295716
Slc35f1,0.6295582
Mbtd1,0.62955606
Cenpv,0.6295265
Ccdc85a,0.62950987
Bola2,0.6294625
Ap3m2,0.62944293
Slain2,0.6294363
Rgs10,0.62942916
Esf1,0.629389
Cbln2,0.62935615
Trnt1,0.62934303
Rgl1,0.62915176
Rnaset2b,0.62905216
Kank1,0.62899005
Tlk2,0.62896895
Aldh1a1,0.62882316
Sdccag8,0.6287775
Tln2,0.6285264
Dtnbp1,0.62848943
Cryzl1,0.628462
Ocrl,0.62845695
Lrrtm1,0.62837803
Ammecr1l,0.62836725
Arih2,0.6282052
Opcml,0.62819886
Rimklb,0.6281567
l7Rn6,0.62811524
Faxc,0.6281014
Bach1,0.6280926
Grin2c,0.62791324
Rps27l,0.6278421
Auts2,0.62775993
Mpp2,0.6276827
Crtc1,0.6276809
Sox1,0.6274672
Kcnc3,0.6274539
Ly6e,0.6274084
Tmem64,0.62728655
Mrpl11,0.62720084
Tm7sf3,0.62715375
Rars,0.6271348
Kdm3a,0.62710935
Ank1,0.6270927
Lrig1,0.62708855
Sdc4,0.6270824
Kif1c,0.627059
Slc13a3,0.6269953
Mpp5,0.6268661
Ankfy1,0.62685394
Caml,0.6268319
Smndc1,0.6267441
Ehbp1,0.6266108
Kdm6b,0.62656504
Rwdd4a,0.62655735
Clec2l,0.6265378
Alkbh5,0.6265123
Nelfb,0.62644136
Ubap1,0.6261836
Ppp2r3a,0.62613666
Eif5a2,0.62606037
Tro,0.6259364
Ssna1,0.6259095
Smchd1,0.62569463
Iars,0.6256605
Rnf126,0.62565416
Vps4b,0.6256324
Ano3,0.62560785
Fech,0.62559986
Tbc1d16,0.6255665
X2610002M06Rik,0.6254891
Mapk8ip2,0.62540585
Chmp7,0.62533873
Lrrn1,0.6252934
Atg4b,0.6250717
Eif4a3,0.6249804
Atp8b2,0.62480146
Kif21b,0.62479734
Sun1,0.6247792
Ctdspl,0.6247462
Map2k7,0.62473357
Pcyt2,0.62473154
Gtf2h5,0.6247057
X5930403L14Rik,0.624701
Plekha2,0.6246796
Clock,0.6245972
Polr2c,0.6245408
Apmap,0.6243463
Frrs1l,0.62433606
Rab8b,0.62422496
Eef1e1,0.6242222
Erlin2,0.6241947
Zfp131,0.6241882
Vstm2l,0.62414986
Elp3,0.6240518
X6720401G13Rik,0.62397873
Fam214a,0.62395316
Ubfd1,0.6238745
Arl4a,0.6238693
Uri1,0.62384385
Pak1ip1,0.6238421
Pak2,0.62379664
Timm44,0.6236956
C1qa,0.6236594
Tufm,0.6235139
Zfc3h1,0.62349045
Rexo2,0.62348247
Cdk9,0.62347716
Btbd10,0.62341326
Csf1r,0.6233545
Sorcs2,0.6232266
Vps13a,0.62306136
Agl,0.6229767
Pmvk,0.62296057
Snx12,0.6228602
Jdp2,0.62277865
Mdk,0.6227745
Fam160a2,0.6227432
Nfs1,0.62236476
Xpo6,0.62232155
Notch2,0.62226844
Smarcc1,0.62217
Cox17,0.62215424
Cbln1,0.6220007
Rnf181,0.62200016
Ccdc124,0.621987
Sc5d,0.62191296
Prr12,0.6218907
Stx4a,0.62185985
Slc30a4,0.62182367
Cd2ap,0.62182164
Pvrl1,0.6217346
Ranbp6,0.62172616
Pnkd,0.62151414
Ddx21,0.6213506
Timm9,0.6213138
Por,0.621207
Sec16a,0.62111634
Dbnl,0.6210956
Grk6,0.6210892
Ccdc132,0.6210882
Smarcal1,0.6210339
Hdgfrp2,0.6209988
Cdc42ep4,0.62098897
Immp1l,0.62097585
Raf1,0.6209555
Fabp3,0.6209373
Zfp317,0.62090683
Zfp36l1,0.6207724
Gon4l,0.62076586
Zdhhc20,0.6206962
Gltscr1l,0.62045795
Grin2b,0.6204468
Plxnb1,0.6204259
Ntan1,0.62030786
Bcl2l1,0.62017876
Cnot4,0.6201767
Usp45,0.62014425
Brd7,0.6200584
Mrpl51,0.6200519
AI597479,0.62002903
Mrps11,0.61998636
Cbfb,0.61995214
Dpm2,0.61982965
Vps37a,0.6197957
Cuta,0.61970913
Enah,0.6195906
Serp2,0.619586
Kcna4,0.61957437
Fgfr1op2,0.6195734
Vps26a,0.61955726
Tbc1d30,0.61949724
Pigp,0.61941075
Pdrg1,0.6193909
Klhl13,0.61921096
Arid4a,0.61913764
Cpt1a,0.6190778
Ttc9b,0.6189999
Smg7,0.61899465
Sppl2a,0.61896795
Rxrb,0.6189327
Lcmt1,0.6189311
Spp1,0.61887777
Zbtb7a,0.61873615
Ctxn3,0.618703
Fubp3,0.61859035
Dhcr24,0.61858594
Ap3s2,0.61847186
Akt2,0.6184566
Sf3b4,0.61830705
Spg20,0.6182557
Scai,0.61823577
Ino80d,0.6182029
Desi2,0.61818916
Fam96a,0.6180832
Anxa6,0.6180672
Eif3k,0.6179218
Plk2,0.6178029
Eif3m,0.61779565
Irak1,0.61777174
Ptk2,0.61763793
Ccsap,0.61759937
Myh14,0.61759067
Elavl4,0.61757797
Ddhd2,0.6175376
Pak6,0.6175351
Megf10,0.61739326
Snrnp27,0.6171737
Kcnip4,0.61715835
Cdk5,0.61708564
Prkcsh,0.61698794
Abca5,0.6169136
Specc1l,0.6168886
Srprb,0.6168817
Chd1,0.6168599
Eftud2,0.6168574
Bend6,0.61685187
Mal,0.6166121
Mesdc2,0.6165349
Manf,0.61651933
Dcp2,0.6164986
Tmem41b,0.61646
Synpo,0.61633444
Ankrd13a,0.6161094
Ezr,0.61609375
Clip2,0.61604345
Nr2f6,0.6159197
Utp3,0.615884
Ncbp1,0.6158356
Mrpl34,0.61583304
Hba.a2,0.615821
Brd9,0.61581594
Ss18,0.6157894
Ehmt1,0.615677
Mier1,0.6155038
Efna5,0.6154898
Rab9,0.61533844
Bcas1,0.6152963
Pacsin3,0.6151837
Tle3,0.61512935
Prmt5,0.6151123
Gle1,0.6150796
Nt5dc3,0.6150362
Slc4a8,0.614918
Fkbp9,0.61484134
Eif1ax,0.6148022
Mdn1,0.61467046
Ccdc149,0.61462647
Dpm3,0.61444384
Dennd6b,0.61429226
C77370,0.6142626
Wdr45b,0.6141566
Ecsit,0.6141498
X1810041L15Rik,0.61413175
Usmg5,0.6140963
Lmo1,0.6140106
Mark2,0.61390984
Dcaf6,0.6138188
Tbc1d15,0.6136137
Arl6ip4,0.6135828
Slc35e2,0.6135691
Letmd1,0.6135599
Ddrgk1,0.6133674
Csgalnact1,0.613305
Tead1,0.613197
Hcn1,0.61307865
Snrpd3,0.6130369
Cstb,0.6128355
Lrrc4c,0.6128313
Arpc1b,0.61275077
Denr,0.6127507
Rbck1,0.61269116
Fam169a,0.61267155
Wdr61,0.6126661
Cabp1,0.61265
Jmjd8,0.61261636
Dip2a,0.6125906
Zzef1,0.61253166
Ifrd1,0.6124812
Gkap1,0.6124682
Trp53inp1,0.61242425
Rtfdc1,0.6123582
Wbp1l,0.61228055
Ppp1r14b,0.6122692
Pqbp1,0.6121533
Sgsm1,0.6120423
Arf2,0.6120239
Mboat2,0.612022
Deaf1,0.61201483
Rnf144a,0.61195236
Trmt2a,0.6119215
Ubr7,0.61186475
E2f4,0.6118532
Mllt1,0.6118515
Mbtps1,0.611843
Bcl6,0.6117882
Kctd1,0.6116555
Tmem191c,0.6116255
Srrm3,0.6115916
Dmtf1,0.61149704
Gigyf1,0.61139226
Vwa1,0.6113495
X3110001D03Rik,0.6112827
Dlx1as,0.6112572
Nin,0.61099696
Nudcd3,0.6109607
Rcc2,0.6108851
Rmdn3,0.6108203
Naa20,0.6108071
Col4a1,0.6107543
Plekhm2,0.61072916
Mrps17,0.610683
Wapal,0.6106743
Ppp1r3c,0.61054075
Smurf2,0.61046433
Tbcel,0.61046195
Tmem208,0.61044717
Ndrg1,0.610373
Psma5,0.61036557
Cand2,0.61034083
Rwdd1,0.6103304
Chmp1b,0.610236
Impdh1,0.6102299
Gpc1,0.61010695
Zfp804a,0.6100943
Snx14,0.61006033
Capn7,0.6100596
Pbx2,0.6099629
Rfc1,0.6099208
Tmeff2,0.6099141
Fam69b,0.6098659
Prkcdbp,0.6098347
Spock1,0.60972834
Scn2b,0.60971826
Nub1,0.60966617
Tet2,0.60964686
Adap1,0.6096082
Mrps36,0.6095285
Dtx3,0.60951
X4833420G17Rik,0.6094964
Mapkapk2,0.60948473
Ssx2ip,0.6092664
Pde10a,0.6092544
Dock1,0.60923743
Hnrpll,0.6092271
Limk2,0.6091477
Pdzd2,0.60910565
Extl2,0.6090121
Cdc34,0.60898125
Larp4,0.6088462
Lgals8,0.6088429
Itpa,0.6088304
Plxna2,0.60879725
Tbc1d24,0.6087041
Fbrsl1,0.6086801
Bag1,0.6083941
Emc1,0.60836196
Fam193a,0.60831386
St8sia3,0.60827863
Tpp2,0.6081681
Tmbim4,0.60802066
Ppp1r8,0.60794616
Stk4,0.6079259
Acadl,0.60790336
Gab1,0.6078028
Tbc1d14,0.6075958
Trim46,0.6075422
Actn4,0.6074259
Zrsr2,0.6074136
Eny2,0.6072044
Sfi1,0.607193
Rcn1,0.6071205
Lnx1,0.60710067
Usp8,0.60708237
Bckdha,0.607062
X9030624J02Rik,0.60695124
X9830001H06Rik,0.60687125
X4933434E20Rik,0.60686445
Rcbtb2,0.60675347
Lgals3bp,0.60669905
Prr13,0.6065903
Sptb,0.60658705
Etfb,0.6064679
Ahctf1,0.6064198
Letm1,0.6063591
Tspan12,0.6062818
Zfp598,0.60626674
Afg3l2,0.60621774
Sox10,0.6062081
Ints3,0.6062018
Ankrd45,0.60609573
Amer2,0.6060927
Magi3,0.6060755
Nabp2,0.60606474
Gpd1,0.6059214
Asns,0.60590476
X1500011K16Rik,0.60581934
Gtpbp1,0.60580724
Adam9,0.60560423
Ppm1g,0.60558945
Synrg,0.6055583
Surf4,0.605505
Ublcp1,0.60548973
Ssbp4,0.60546964
Oxsr1,0.60532975
Fam76a,0.6050893
Fam171a1,0.6050524
Vta1,0.6050523
Scaf1,0.60503304
Hdac1,0.60503244
Tceb3,0.60503113
Impad1,0.60493946
Chmp1a,0.60493565
Snapin,0.60490364
Micu1,0.60488516
Shprh,0.6048679
Idh1,0.6048528
X2610301B20Rik,0.60480857
Eif4e2,0.6046119
Ell2,0.60435563
Ube2s,0.6043161
Sox11,0.6043071
Pou3f2,0.6042848
Dym,0.6042456
Tpgs1,0.6042382
Lrp10,0.6041627
Satb1,0.6041228
Smu1,0.60398847
Mdm2,0.60394055
Nck2,0.603893
Nt5c3,0.60381943
Npc1,0.60380006
Mpdz,0.60372245
Lamtor2,0.6036905
Rrn3,0.6036507
A230073K19Rik,0.6035751
Rprd1b,0.6035634
Zfp523,0.6035398
Rspo3,0.6035137
Lsm6,0.60346735
Junb,0.603441
Terf2,0.6034049
Elp2,0.6033584
Sec23b,0.6032547
Rapgef3,0.6031946
Acaca,0.60314494
Fxr1,0.60311013
Arhgap44,0.60310614
Trappc2l,0.6030842
Zswim6,0.60307753
Rnmt,0.6030603
Maoa,0.6030059
Anapc4,0.60296977
Trim24,0.6028466
Ostm1,0.6028368
Zyx,0.6027727
Ldoc1l,0.6027383
Yipf3,0.6026876
Coq10a,0.60266507
C1qc,0.60251576
Wipf2,0.602511
Snrpe,0.6024871
Tiparp,0.6024556
Mut,0.602314
Pdlim5,0.6022881
Gpc5,0.6022849
Pex11b,0.60227156
Prps2,0.60224634
Dbndd2,0.60224617
Anxa7,0.6022229
Slc4a3,0.60199285
Tspan9,0.60198444
Slu7,0.60193986
Cdc42se1,0.6019266
Ccpg1,0.6019089
Zfp322a,0.6019025
Cers5,0.6018995
Tmem176b,0.6018348
Smc6,0.60167825
Flii,0.60167193
AU040320,0.6015928
Sdccag3,0.6015102
Zcchc8,0.601468
Pim3,0.60145587
Ccnd2,0.6014443
Fbxo31,0.6014288
Lynx1,0.6013762
Angel2,0.60135967
Ggt7,0.60129195
Cxxc4,0.6012887
Ckmt1,0.60112643
Cd302,0.60101455
Gm17066,0.60098416
Pbxip1,0.6009808
Hdac3,0.6009548
Slc7a2,0.6009065
Uqcc,0.6007877
Ccl27a,0.60068005
Epc2,0.6006158
Vps37b,0.6006114
Tsc2,0.6003074
Psmf1,0.60029083
Fam102a,0.60028183
Cpsf3,0.6002284
Map3k7,0.6000559
Fbxw5,0.6000183
Adora1,0.6000169
Morn4,0.60000193
Galntl6,0.5998087
Hspa12a,0.59979475
Necap2,0.59975
Snrpg,0.59963024
Cyp51,0.5996133
Phf23,0.5992558
Senp7,0.5992195
Taf10,0.5991743
Nt5c2,0.59910864
Eepd1,0.5989848
Pcmt1,0.598951
Prkag2,0.59894264
Atp6ap1l,0.5988537
March2,0.5988381
Tmem25,0.5988356
Exd2,0.59874827
Zfhx4,0.5987239
Map4k3,0.5987086
Kdm3b,0.5986098
Ttc28,0.5985719
Zcchc14,0.5985703
Cdo1,0.5985688
Slco3a1,0.5985541
Sfswap,0.5985446
Dpp9,0.5983966
Mdp1,0.59839576
Acaa2,0.5983784
Tnfaip1,0.59828705
Serpinf1,0.5982315
Aifm3,0.59821934
Taok3,0.598161
Ltn1,0.59815
Tesk1,0.5981394
Dnajc15,0.597985
Med23,0.5979558
Dpysl5,0.597664
Cacul1,0.59747046
Kcnmb4,0.5974527
Prkar2b,0.5974069
Paf1,0.59734374
Shisa7,0.59733194
Aspa,0.59729517
Slc22a23,0.59723616
Srr,0.5970941
Dstyk,0.597083
Arl6,0.5970824
Safb2,0.59698814
Tpm4,0.59698683
X2310061I04Rik,0.59698224
Plch2,0.5967939
Hsdl1,0.5967698
Ufd1l,0.59670776
Rab8a,0.5966911
Ptbp1,0.5965678
Eef1d,0.59655327
Aldh1l1,0.5965531
Sidt2,0.5965005
Vipr2,0.5964698
Timm10,0.5963107
Kdelr2,0.5962997
Lamc1,0.5962688
Rnh1,0.5961689
Tmem145,0.59615177
Slc9a1,0.59608215
Esrrg,0.5959502
Hip1,0.59592843
Mrps23,0.5959021
Nckap1,0.5955465
Kctd2,0.59547824
Cbx7,0.5954169
Gnai3,0.59540814
Upf1,0.5954068
Slc2a13,0.59523356
Glt8d1,0.5952028
A830010M20Rik,0.5951954
Exoc1,0.59512144
Sephs1,0.59497994
Wdtc1,0.59486616
Celsr3,0.59481174
Zrsr1,0.5947624
Dnpep,0.5947026
Rgs3,0.59464115
Tcn2,0.5946317
Yap1,0.5946008
Cebpz,0.59442383
Snrpa1,0.5943059
Tmem223,0.5941212
Sec61a2,0.5940135
Uck1,0.59394425
Eif1a,0.5938586
Brap,0.5938493
Yipf6,0.5938333
Supt6,0.5938307
Prickle1,0.5937983
Ptpn2,0.59379023
Cnksr2,0.59370863
Snx25,0.59368557
Ppm1h,0.5936465
Dync2h1,0.59363604
Rorb,0.5935812
Lats2,0.5935794
Smc5,0.5935385
Gse1,0.593525
Mdga1,0.59351265
Sox4,0.5935097
Pdhx,0.59343207
Etfdh,0.5934266
Pagr1a,0.5933294
Champ1,0.5932978
Cbll1,0.5932314
Lcat,0.59321415
Eif2s1,0.5931027
Hist3h2ba,0.59301174
Paip2b,0.5929171
Suclg2,0.5928562
Ets2,0.5928316
Mphosph8,0.5927919
Plcl1,0.5926385
Rbm22,0.5923855
Tmeff1,0.59229165
Ccdc6,0.59214556
Dnajc13,0.5921407
Tmem88,0.5921079
Rnf2,0.59209704
Chtf8,0.5919404
Znhit1,0.5918925
Rbbp9,0.59184533
Apbb2,0.59184104
Hbegf,0.5918379
Mtf1,0.591691
Nsmaf,0.59159434
Akirin2,0.5915427
Dnmt1,0.5915367
Zmym1,0.5915059
Ppp1r15b,0.59147966
Igbp1,0.5914122
Ddx19a,0.59140086
St3gal2,0.59138876
Gm996,0.5913487
H13,0.5913242
Ubash3b,0.5913203
Slc25a17,0.59130055
Pam16,0.5912735
Med9,0.59108406
X2810403A07Rik,0.5910617
Fam120aos,0.59102285
Shisa6,0.5909266
Scn3b,0.5908634
Strip1,0.5908185
Bax,0.59078383
Mkln1,0.5906906
Drp2,0.59056616
Acvr1c,0.5905385
Trappc8,0.59052
Cdkn2d,0.59051776
Me3,0.59047043
Ppp4r1,0.5904029
Bex4,0.59036344
Naa35,0.59031177
Creg1,0.59025186
Esco1,0.59012836
Ctps,0.5900467
Bbx,0.59004396
Ogfod1,0.5899477
Hgs,0.58990765
Pop5,0.58987474
X2700094K13Rik,0.58986926
Acadsb,0.58984697
Mapkbp1,0.5897767
Exoc7,0.5897718
H2afj,0.5897123
Atad2b,0.5894865
Ptpdc1,0.58947426
Rbm45,0.5894509
Dock7,0.5894506
Pknox1,0.58943415
Pcyt1a,0.5894301
Tmem259,0.5894202
Qpct,0.58939666
Jam3,0.5893591
Coro7,0.5893506
