gene,cosine_similarity
Mapk1,0.91485244
Trim9,0.91484356
Uqcr11,0.9147007
Rab1,0.91467696
Serinc3,0.91461694
Slc22a17,0.91459614
Atp5c1,0.91456395
Set,0.9144606
A730098P11Rik,0.91439086
Iqsec3,0.91433567
Gstm1,0.9140805
Uqcrfs1,0.9140686
Prdx2,0.9134864
Camk2n1,0.9133367
Gapdh,0.9129822
Gm13826,0.9128957
Rasl10b,0.9128279
Rpl39,0.91279817
Vcp,0.91226923
Tspyl4,0.9119625
Ppap2b,0.91194576
Rpl3,0.9118006
Cadm2,0.9117063
Mir682,0.9112846
Serpini1,0.9108782
Arhgef9,0.91075504
Map1a,0.9107525
Trnp1,0.91068494
Morf4l1,0.9106637
Srrm2,0.9104313
Scoc,0.91036165
Mlc1,0.91015255
Aff4,0.9100425
Rpl6,0.9096603
Syt7,0.9094899
Aak1,0.90945995
Snap91,0.90943664
Hspa5,0.9094051
Prdx6,0.90936875
Clu,0.9093406
Tmsb10,0.9092711
Ywhaq,0.90901834
Vapa,0.9089153
Kctd12,0.9089134
Cnbp,0.9088193
Rpl27a,0.9087307
Ctbp1,0.9087084
Ppm1e,0.9085473
Arl6ip1,0.908397
Gprasp1,0.9083395
Ddx3x,0.90830076
Nacc2,0.9082858
Mmd2,0.90811783
Ndufa2,0.9079526
Setd7,0.90782803
Cyc1,0.9077532
Ubl3,0.9077357
Ids,0.90768397
Sept7,0.90750444
Mpc1,0.9073654
Elavl3,0.90725267
Pbx1,0.90724504
Rab2a,0.9071206
Bcan,0.90710706
Btbd1,0.90707755
Sfpq,0.9068458
Zfr,0.9068065
Cck,0.9066742
Uqcrq,0.90662646
Atp5h,0.9065764
Rbm39,0.9062381
Eif3f,0.90608597
Ppp2r1a,0.9060064
Tcf25,0.90587187
Atp5e,0.9057533
Gnai2,0.905738
Rnf187,0.9056883
Rpl19,0.90566844
Ndufa12,0.90562147
Mapk8ip1,0.9054972
Bex2,0.90548503
Gpx4,0.9053149
Sec14l1,0.9049588
Nrip3,0.90473163
Hspa4,0.90439343
Mat2a,0.90416443
Gja1,0.90381753
Son,0.903706
Cds2,0.90366906
Nsg2,0.9035448
Apod,0.903497
Clcn3,0.9034809
Ndufc2,0.9032148
Azin1,0.9031951
Actr2,0.90316474
Tmem30a,0.9030563
Nucks1,0.90277386
Bsg,0.90267074
Atp1a2,0.9026695
Elmo2,0.9025944
Ndufb9,0.902486
Tmem47,0.9024659
Hlf,0.9020543
Ociad1,0.902053
Dnajc6,0.90151244
Cadps,0.9015075
Tmx4,0.9011395
Gdi2,0.90111595
Slc12a5,0.9010223
Rnf14,0.9010085
Cycs,0.9008756
Pdha1,0.9007524
Rps29,0.9005686
Atp5l,0.90053064
Ndrg3,0.9004481
Ndufs2,0.9004394
Nbea,0.900201
Abr,0.9000923
Pten,0.90002453
Fam213a,0.9000033
Gpi1,0.8999676
Rpl15,0.89993906
Fads1,0.8998937
Fau,0.89988554
